commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places
111CA_Farms,43472,717,0,86,34,0,1893,214612,2148,0,0,0,0,0,12729,0,0,0,0,0,0,0,0,0,0,424,1583,1647,56,0,0,1,2,0,555,22,795,155,0,299,26,1104
113FF_Forestry_fishing_and_related_activities,20640,6234,0,95,0,0,0,7146,0,116,9579,4890,62,29,897,3681,2,0,0,0,0,0,0,0,54,330,0,761,3,0,0,0,0,0,170,10,1,72,0,166,361,3341
211_Oil_and_gas_extraction,0,0,42548,14,2,32840,0,1,0,0,2,3,0,534170,5110,2,0,39,1,0,0,0,0,0,0,0,26,22,95,3,3,0,0,0,11,31,6,4,41,10,15,43
212_Mining_except_oil_and_gas,2314,2,120,6466,47,12696,10647,2100,123,0,8,1727,0,1835,5998,136,7632,19770,448,129,23,110,64,87,17,140,20,1,121,3,292,0,2,0,870,54,355,260,92,641,59,448
213_Support_activities_for_mining,0,0,11828,2288,1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,0,0,0,0,0
22_Utilities,4948,214,5740,3907,124,27891,3750,12425,1575,306,1574,5987,1354,4571,16141,4561,3580,8769,5023,2725,1754,1258,3615,1612,582,1376,15845,30774,5991,11020,5420,6666,54750,2196,4642,8553,2249,6860,14231,3673,5633,19973
23_Construction,1482,50,1421,2040,1379,6854,209,1651,107,50,176,673,299,6517,1916,519,402,906,800,620,331,179,719,271,100,250,2211,3546,4914,829,2716,6084,103774,237,964,548,418,703,2126,619,780,1709
311FT_Food_and_beverage_and_tobacco_products,32130,412,0,0,0,0,0,179291,12,1075,41,1319,1235,517,4537,123,150,9,0,0,0,0,0,0,0,7,2687,5027,763,0,75,0,0,0,2603,115,0,8069,18436,3779,5301,43400
313TT_Textile_mills_and_textile_product_mills,163,117,0,4,0,0,1270,138,8744,2648,446,2551,336,53,2,2464,360,0,0,796,1,0,3437,647,2152,2232,1637,3929,297,3,115,0,58,169,226,5,180,31,3122,349,1556,238
315AL_Apparel_and_leather_and_allied_products,15,0,0,0,0,0,0,11,628,2605,0,0,1499,0,0,0,0,0,0,0,0,0,1753,0,0,29,845,1641,0,0,1260,0,0,75,34,2,298,85,1919,85,11,121
321_Wood_products,212,72,0,66,68,0,25294,331,46,2,14154,4708,4,0,273,1047,362,339,212,908,201,176,2730,228,4761,1006,2076,1118,1285,139,1835,75,3247,279,537,2,416,57,1313,116,312,736
322_Paper_products,317,0,76,220,59,23,1581,25151,545,70,404,42432,7828,315,6707,3754,1452,1651,2083,2244,832,1041,2313,513,765,2279,5319,3080,3504,452,3581,1917,510,401,3953,900,3485,444,4820,223,1744,2294
323_Printing_and_related_support_activities,29,0,11,5,0,5,33,219,0,55,20,0,2244,10,805,0,0,0,1,12,0,2,4,0,0,0,8893,3150,489,10,11055,4305,42,463,5649,978,2424,1142,5498,885,689,589
324_Petroleum_and_coal_products,10605,1262,7739,7024,3042,30943,50378,4810,261,86,1095,2259,1834,31277,20430,1280,1099,3745,1166,1777,343,1434,794,361,326,1031,7195,3916,108937,357,1980,13745,3749,2777,3702,2103,5201,1779,7242,1486,1468,4475
325_Chemical_products,25254,3073,7203,3220,1321,1684,8024,7928,11447,321,1968,13428,6338,20397,249318,59502,4363,2259,7494,4579,3078,3008,7427,1450,1292,7522,2276,1141,515,440,1872,124,7232,363,11328,1938,7397,857,54083,1104,80,413
